doc_id,domain,title,date_published,collection,tags,url
"35","bbc.co.uk","BBC News - Typhoon Haiyan: Philippines death toll up as aid arrives","2013-11-16T10:26:12+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24954011"
"36","bbc.co.uk","BBC News - Super Typhoon Haiyan: Satellite images","2013-11-09T15:11:10+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-24866265"
"36","bbc.co.uk","BBC News - Super Typhoon Haiyan: Satellite images","2013-11-09T15:11:10+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-24866265"
"37","bbc.co.uk","BBC News - Scottish independence: East Kilbride aid jobs said to be 'at risk'","2013-11-13T17:26:47+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-scotland-scotland-politics-24915453"
"38","bbc.co.uk","BBC News - Typhoon Haiyan: Philippines destruction 'absolute bedlam'","2013-11-12T02:47:04+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24894529"
"39","bbc.co.uk","BBC News - Philippines typhoon: Aid effort gathers pace","2013-11-17T16:53:14+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24972707"
"4","bbc.co.uk","BBC News - Waiting for aid in battered Guiuan","2013-11-16T09:22:11+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24953720"
"40","bbc.co.uk","BBC News - Typhoon Haiyan: China sends relief team to Philippines","2013-11-21T09:26:08+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-china-24997186"
"41","bbc.co.uk","BBC News - In pictures: Typhoon aid ramps up","2013-11-15T10:01:30+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24936814"
"41","bbc.co.uk","BBC News - In pictures: Typhoon aid ramps up","2013-11-15T10:01:30+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24936814"
"42","bbc.co.uk","BBC News - China's Philippine aid controversy","2013-11-15T09:54:26+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24938874"
"43","bbc.co.uk","BBC News - Typhoon Haiyan: UK planes take aid to Philippines","2013-11-19T04:28:28+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24982656"
"44","bbc.co.uk","BBC News - China media: Typhoon Haiyan","2013-11-13T06:25:58+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-china-24907909"
"45","bbc.co.uk","BBC News - Typhoon Haiyan: Philippines battles to bring storm aid","2013-11-11T12:25:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24887746"
"46","bbc.co.uk","BBC News - Typhoon Haiyan: Plight of survivors 'bleak' despite aid effort","2013-11-16T01:49:03+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24950905"
"47","bbc.co.uk","BBC News - Philippine typhoon: Asian press emphasise solidarity","2013-11-14T08:57:07+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24923115"
"48","bbc.co.uk","BBC News - UK to send ship to help Philippines, David Cameron announces","2013-11-12T20:55:44+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-politics-24906526"
"49","bbc.co.uk","BBC News - UK paper review: Tuesday's front pages","2013-11-12T23:25:26+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24906536"
"5","bbc.co.uk","BBC News - Typhoon Haiyan hits Philippines fourth quarter growth","2014-01-31T11:54:29+00:00","haiyan","bbc","http://www.bbc.co.uk/news/business-25958014"
"50","bbc.co.uk","BBC News - The 12 cyber-scams of Christmas","2013-12-12T00:46:38+00:00","haiyan","bbc","http://www.bbc.co.uk/news/technology-25200338"
"51","bbc.co.uk","BBC News - China media: One-child policy","2013-11-19T05:50:41+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-china-24983007"
"52","bbc.co.uk","BBC News - Typhoon Haiyan: TV appeal for Philippines donations","2013-11-13T01:38:44+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24901486"
"53","bbc.co.uk","BBC News - Typhoon Haiyan commentary as seen by regional media","2013-11-13T21:08:11+00:00","haiyan","bbc","http://www.bbc.co.uk/news/blogs-echochambers-24916637"
"54","bbc.co.uk","BBC News - Mass immunisation programme begins in the Philippines","2013-11-26T14:59:13+00:00","haiyan","bbc","http://www.bbc.co.uk/news/health-25092026"
"55","bbc.co.uk","BBC News - Typhoon Haiyan in Philippines: Orkney commander describes helicopter aid","2013-12-05T11:30:46+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-25214231"
