query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"news.com.au-w15","2014-04-16","weeks","15","105","25900","2014-01-01","2014-01-08"
"news.com.au-w16","2014-04-16","weeks","16","112","33600","2013-12-25","2014-01-01"
"news.com.au-w17","2014-04-16","weeks","17","119","33400","2013-12-18","2013-12-25"
"news.com.au-w18","2014-04-16","weeks","18","126","33600","2013-12-11","2013-12-18"
"news.com.au-w19","2014-04-16","weeks","19","133","33600","2013-12-04","2013-12-11"
"news.com.au-w20","2014-04-16","weeks","20","140","33400","2013-11-27","2013-12-04"
"news.com.au-w21","2014-04-16","weeks","21","147","33400","2013-11-20","2013-11-27"
"news.com.au-w22","2014-04-16","weeks","22","154","51200","2013-11-13","2013-11-20"
"nytimes.com-w13","2014-04-16","weeks","13","91","26600","2014-01-15","2014-01-22"
"nytimes.com-w14","2014-04-16","weeks","14","98","26600","2014-01-08","2014-01-15"
"nytimes.com-w15","2014-04-16","weeks","15","105","26700","2014-01-01","2014-01-08"
"nytimes.com-w16","2014-04-16","weeks","16","112","33300","2013-12-25","2014-01-01"
"nytimes.com-w17","2014-04-16","weeks","17","119","33200","2013-12-18","2013-12-25"
"nytimes.com-w18","2014-04-16","weeks","18","126","33300","2013-12-11","2013-12-18"
"nytimes.com-w19","2014-04-16","weeks","19","133","33200","2013-12-04","2013-12-11"
"nytimes.com-w20","2014-04-16","weeks","20","140","33300","2013-11-27","2013-12-04"
"nytimes.com-w21","2014-04-16","weeks","21","147","33300","2013-11-20","2013-11-27"
"nytimes.com-w22","2014-04-16","weeks","22","154","40300","2013-11-13","2013-11-20"
"spiegel.de-w13","2014-04-16","weeks","13","91","12100","2014-01-15","2014-01-22"
"spiegel.de-w14","2014-04-16","weeks","14","98","12100","2014-01-08","2014-01-15"
"spiegel.de-w15","2014-04-16","weeks","15","105","12100","2014-01-01","2014-01-08"
"spiegel.de-w16","2014-04-16","weeks","16","112","15400","2013-12-25","2014-01-01"
"spiegel.de-w17","2014-04-16","weeks","17","119","15400","2013-12-18","2013-12-25"
"spiegel.de-w18","2014-04-16","weeks","18","126","15400","2013-12-11","2013-12-18"
"spiegel.de-w19","2014-04-16","weeks","19","133","15400","2013-12-04","2013-12-11"
"spiegel.de-w20","2014-04-16","weeks","20","140","15400","2013-11-27","2013-12-04"
"spiegel.de-w21","2014-04-16","weeks","21","147","15400","2013-11-20","2013-11-27"
"spiegel.de-w22","2014-04-16","weeks","22","154","18900","2013-11-13","2013-11-20"
"theguardian.com-w13","2014-04-16","weeks","13","91","57100","2014-01-15","2014-01-22"
"theguardian.com-w14","2014-04-16","weeks","14","98","56700","2014-01-08","2014-01-15"
"theguardian.com-w15","2014-04-16","weeks","15","105","57100","2014-01-01","2014-01-08"
"theguardian.com-w16","2014-04-16","weeks","16","112","69000","2013-12-25","2014-01-01"
"theguardian.com-w17","2014-04-16","weeks","17","119","69500","2013-12-18","2013-12-25"
"theguardian.com-w18","2014-04-16","weeks","18","126","69500","2013-12-11","2013-12-18"
"theguardian.com-w19","2014-04-16","weeks","19","133","69200","2013-12-04","2013-12-11"
"theguardian.com-w20","2014-04-16","weeks","20","140","69000","2013-11-27","2013-12-04"
"theguardian.com-w21","2014-04-16","weeks","21","147","69000","2013-11-20","2013-11-27"
"theguardian.com-w22","2014-04-16","weeks","22","154","81500","2013-11-13","2013-11-20"
"washingtonpost.com-w13","2014-04-16","weeks","13","91","39100","2014-01-15","2014-01-22"
"washingtonpost.com-w14","2014-04-16","weeks","14","98","39100","2014-01-08","2014-01-15"
"washingtonpost.com-w15","2014-04-16","weeks","15","105","39100","2014-01-01","2014-01-08"
"washingtonpost.com-w16","2014-04-16","weeks","16","112","45600","2013-12-25","2014-01-01"
"washingtonpost.com-w17","2014-04-16","weeks","17","119","45600","2013-12-18","2013-12-25"
"washingtonpost.com-w18","2014-04-16","weeks","18","126","45600","2013-12-11","2013-12-18"
"washingtonpost.com-w19","2014-04-16","weeks","19","133","45600","2013-12-04","2013-12-11"
"washingtonpost.com-w20","2014-04-16","weeks","20","140","45600","2013-11-27","2013-12-04"
"washingtonpost.com-w21","2014-04-16","weeks","21","147","45600","2013-11-20","2013-11-27"
"washingtonpost.com-w22","2014-04-16","weeks","22","154","54300","2013-11-13","2013-11-20"
"xinhuanet.com-w13","2014-04-16","weeks","13","91","366000","2014-01-15","2014-01-22"
"xinhuanet.com-w14","2014-04-16","weeks","14","98","366000","2014-01-08","2014-01-15"
"xinhuanet.com-w15","2014-04-16","weeks","15","105","367000","2014-01-01","2014-01-08"
"xinhuanet.com-w16","2014-04-16","weeks","16","112","366000","2013-12-25","2014-01-01"
"xinhuanet.com-w17","2014-04-16","weeks","17","119","367000","2013-12-18","2013-12-25"
"xinhuanet.com-w18","2014-04-16","weeks","18","126","366000","2013-12-11","2013-12-18"
"xinhuanet.com-w19","2014-04-16","weeks","19","133","367000","2013-12-04","2013-12-11"
"xinhuanet.com-w20","2014-04-16","weeks","20","140","366000","2013-11-27","2013-12-04"
"xinhuanet.com-w21","2014-04-16","weeks","21","147","367000","2013-11-20","2013-11-27"
"xinhuanet.com-w22","2014-04-16","weeks","22","154","366000","2013-11-13","2013-11-20"
"w13","2014-04-16","weeks","13","91","587000000","2014-01-15","2014-01-22"
"w14","2014-04-16","weeks","14","98","587000000","2014-01-08","2014-01-15"
"w15","2014-04-16","weeks","15","105","587000000","2014-01-01","2014-01-08"
"w16","2014-04-16","weeks","16","112","645000000","2013-12-25","2014-01-01"
"w17","2014-04-16","weeks","17","119","648000000","2013-12-18","2013-12-25"
"w18","2014-04-16","weeks","18","126","648000000","2013-12-11","2013-12-18"
"w19","2014-04-16","weeks","19","133","657000000","2013-12-04","2013-12-11"
"w20","2014-04-16","weeks","20","140","648000000","2013-11-27","2013-12-04"
"w21","2014-04-16","weeks","21","147","645000000","2013-11-20","2013-11-27"
"w22","2014-04-16","weeks","22","154","662000000","2013-11-13","2013-11-20"
