query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end,doc_id,domain,title,date_published,collection,tags,url,summary,clean_text
"2014-04-10","weeks","15","105","105000","2013-12-26","2014-01-02","haiyan-google-blog_1-10_w15(06)","npr.org","Rushing Toward Chaos: Covering The Aftermath Of Typhoon Haiyan","","haiyan","google-blog","http://www.npr.org/blogs/parallels/2013/12/28/257648053/rushing-toward-chaos-covering-the-aftermath-of-typhoon-haiyan","NPR&#39;s Jason Beaubien and David Gilkey have covered calamities all over the <br> globe. But the recent aftermath of <b>Typhoon Haiyan</b> in the Philippines was&nbsp;...","Skip to main content U.S. Agency for International Development USAID Leadership Who We Are backWho We Are Who We Are About USAID Who We Are Annual Letter Mission, Vision and Values USAID History Organization Operational Policy (ADS) Transparency Resource Portal What We Do backWhat We Do What We Do Areas of Focus What We Do Agriculture and Food Security Democracy, Human Rights and Governance Economic Growth and Trade Education Ending Extreme Poverty Environment and Global Climate Change Gender Eq[...]"
"2014-04-10","weeks","16","112","105000","2013-12-19","2013-12-26","haiyan-google-blog_1-10_w16(10)","helpage.org","Philippines: Christmas after Typhoon Haiyan | Blogs | HelpAge ...","","haiyan","google-blog","http://www.helpage.org/blogs/vincent-henson-16083/philippines-christmas-after-typhoon-haiyan-663/","Philippines: Christmas after <b>Typhoon Haiyan</b>. Posted By Vincent Henson at 15:44<br> , 20 December 2013. Generosa outside her house with her grandchildren.","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","17","119","104000","2013-12-12","2013-12-19","haiyan-google-blog_1-10_w17(07)","ictemergency.wfp.org","ICT Emergency - BLOG: Typhoon Haiyan","","haiyan","google-blog","http://ictemergency.wfp.org/web/ictepr/emergencies2013/philippines/blog","Super <b>Typhoon Haiyan</b> (known locally as Yolanda) made landfall in Guiuan, <br> Eastern ... This is a <b>blog</b> maintained by the ETC team responding to this <br> devastating&nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","17","119","104000","2013-12-12","2013-12-19","haiyan-google-blog_1-10_w17(09)","rescue.org","Helping homeowners in the Philippines rebuild after Typhoon Haiyan","","haiyan","google-blog","http://www.rescue.org/blog/helping-homeowners-philippines-rebuild-after-typhoon-haiyan-photos","IRC staff distribute vouchers to help homeowners after <b>Typhoon Haiyan</b> ... Get <br> updates from IRC aid workers helping surviviors of <b>Typhoon Haiyan</b> in the&nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","18","126","105000","2013-12-05","2013-12-12","haiyan-google-blog_1-10_w18(03)","blog.twitch.tv","The Official Twitch Blog Twitch Raises $90,000 for Typhoon Haiyan ...","","haiyan","google-blog","http://blog.twitch.tv/2013/12/twitch-raises-90000-for-typhoon-haiyan-relief/","When <b>Typhoon Haiyan</b> devastated the Philippines, many of us here at Twitch <br> were quick to express interest in organizing a charitable campaign. We also <br> knew&nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","18","126","105000","2013-12-05","2013-12-12","haiyan-google-blog_1-10_w18(04)","rescue.org","Typhoon Haiyan: Crisis in the Philippines | International Rescue ...","","haiyan","google-blog","http://www.rescue.org/typhoon-haiyan-crisis-philippines","In the wake of <b>Typhoon Haiyan</b>, the International Rescue Committee is focusing <br> on urgent water, sanitation, hygiene, health and shelter ... March 20, 2014 | <b>Blog</b>.","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","19","133","105000","2013-11-28","2013-12-05","haiyan-google-blog_1-10_w19(02)","washingtonpost.com","A heart-pounding inside look at Super Typhoon Haiyan","","haiyan","google-blog","http://www.washingtonpost.com/blogs/capital-weather-gang/wp/2013/12/02/a-heart-pounding-inside-look-at-super-typhoon-haiyan/","<b>Blogs</b> &amp; Columns .... Tracks of all West Pacific typhoons during the 2013 season. <br> ... Winds near a crescendo as Super <b>Typhoon Haiyan</b> approaches Tacloban&nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","19","133","105000","2013-11-28","2013-12-05","haiyan-google-blog_1-10_w19(05)","theguardian.com","Typhoon Haiyan: climate change is increasing the intensity of ...","","haiyan","google-blog","http://www.theguardian.com/environment/blog/2013/nov/29/climate-change-extreme-weather-philippines-typhoon-haiyan","Paddy Ashdown: The Philippines <b>typhoon Haiyan</b> follows other extraordinary <br> meteorological events that are becoming more frequent ... Environment <b>blog</b> <br> badge.","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","19","133","105000","2013-11-28","2013-12-05","haiyan-google-blog_1-10_w19(07)","asiantour.com","Els Blog: Thoughts with victims of Typhoon Haiyan | Asian Tour ...","","haiyan","google-blog","http://www.asiantour.com/2013/12/03/els-blog-thoughts-with-victims-of-typhoon-haiyan/","By Ernie Els. Golf these days is a global game and we&#39;re all part of one big family, <br> so my latest <b>blog</b> could only begin with a thought and a prayer sent to those&nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","20","140","105000","2013-11-21","2013-11-28","haiyan-google-blog_1-10_w20(09)","blog.conservation.org","Typhoon Haiyan&apos;s Impact Felt in Warsaw | Human Nature ...","","haiyan","google-blog","http://blog.conservation.org/2013/11/typhoon-haiyans-impact-felt-in-warsaw/","Human Nature – Conservation International <b>Blog</b> ... Everyone is talking about <br> what has happened — <b>Typhoon Haiyan</b> has opened the eyes of the world to the<br> &nbsp;...","Conservation International About CI Newsroom CI In Action Visit Conservation.org Spam Control Text:  Please leave this field empty Join the Community Exploring the vital connections between nature&apos;s well-being and our own. Skip to content Home About Authors Archives left APR 2009 Posts: 37 MAY 2009 Posts: 6 JUN 2009 Posts: 26 JUL 2009 Posts: 10 AUG 2009 Posts: 16 SEP 2009 Posts: 22 OCT 2009 Posts: 14 NOV 2009 Posts: 16 DEC 2009 Posts: 18 JAN 2010 Posts: 11 FEB 2010 Posts: 13 MAR 2010 Posts[...]"
"2014-04-10","weeks","21","147","423000","2013-11-14","2013-11-21","haiyan-google-blog_1-10_w21(01)","blogs.telegraph.co.uk","Why I won&apos;t be criticising the Philippine relief effort after Typhoon ...","","haiyan","google-blog","http://blogs.telegraph.co.uk/news/robcrilly/100246070/why-i-wont-be-criticising-the-philippine-relief-effort-after-typhoon-haiyan-ive-been-there/","A typhoon victim keeps her husband alive by manually pumping air into his lungs <br> at the Divine Word hospital in ... dcsimg. Monday 7 April 2014 | <b>Blog</b> Feed | All <br> feeds ... <b>Typhoon Haiyan</b> is one of the most powerful storms ever to have hit land.","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
"2014-04-10","weeks","21","147","423000","2013-11-14","2013-11-21","haiyan-google-blog_1-10_w21(02)","washingtonpost.com","8 maps that explain why Typhoon Haiyan hit the Philippines so hard","","haiyan","google-blog","http://www.washingtonpost.com/blogs/worldviews/wp/2013/11/15/8-maps-that-explain-why-typhoon-haiyan-hit-the-philippines-so-hard/","<b>Blogs</b> &amp; Columns .... A week after <b>Typhoon Haiyan</b> made landfall in the <br> Philippines, the country&#39;s ... This map shows Haiyan&#39;s path westward across the <br> Pacific.","Conservation International About CI Newsroom CI In Action Visit Conservation.org Spam Control Text:  Please leave this field empty Join the Community Exploring the vital connections between nature&apos;s well-being and our own. Skip to content Home About Authors Archives left APR 2009 Posts: 37 MAY 2009 Posts: 6 JUN 2009 Posts: 26 JUL 2009 Posts: 10 AUG 2009 Posts: 16 SEP 2009 Posts: 22 OCT 2009 Posts: 14 NOV 2009 Posts: 16 DEC 2009 Posts: 18 JAN 2010 Posts: 11 FEB 2010 Posts: 13 MAR 2010 Posts[...]"
"2014-04-10","weeks","21","147","423000","2013-11-14","2013-11-21","haiyan-google-blog_1-10_w21(05)","sbs.com.au","Blog: Journey to Typhoon Haiyan&apos;s ground zero | SBS News","","haiyan","google-blog","http://www.sbs.com.au/news/article/2013/11/16/reporters-notebook-desperation-and-resilience-typhoon-ravaged-tacloban","SBS reporter Kathy Novak was in the Philippines when <b>Typhoon Haiyan</b> made <br> landfall in the Philippines seven days ago. In this <b>blog</b>, she reports on her journey<br> &nbsp;...","We use cookies to ensure that we give you the best experience on our website. By continuing to browse our site, you are giving your consent for us to set cookies. However, if you would like to, you can change your cookie settings at any time. Read our cookie policy. News News News in Pictures Spotlights TrustLaw Independent Journalism Services Jobs Market About the Foundation View full desktop version Latest Top U.S. lawmaker: intelligence top priority in defense bill Stephen Colbert will be nex[...]"
