doc_id,domain,title,date_published,collection,tags,url,summary
haiyan-google_51-61_w18(3),helpageusa.org,Older People Disproportionately Affected by Typhoon Haiyan | News ...,,haiyan,google,http://www.helpageusa.org/newsroom/news/older-people-disproportionately-affected-by-typhoon-haiyan/,HelpAge International&#39;s analysis of the latest data from the Philippines suggests <br> that almost two fifths of people killed by <b>Typhoon Haiyan</b> were over the age of 60<br> &nbsp;...
haiyan-google_51-61_w18(4),devex.com,International Development News | DfID&apos;s response to Typhoon ...,,haiyan,google,https://www.devex.com/news/dfids-response-to-typhoon-haiyan-opportunities-for-future-humanitarian-crises-83013,"A beneficiary of U.K.-funded humanitarian supplies, which was distributed by a <br> consortium of NGOs in Leyte, one of the hardest hit areas of <b>Typhoon Haiyan</b> in&nbsp;..."
haiyan-google_51-61_w18(5),helpage.org,"Typhoon Haiyan, three months on: Aid reaches 50,000 people ...",,haiyan,google,http://www.helpage.org/newsroom/latest-news/typhoon-haiyan-three-months-on-aid-reaches-50000-people/,"Home | Newsroom | Latest <b>news</b> | <b>Typhoon Haiyan</b>, three months on: Aid reaches <br> ... Almost 40% of people killed by <b>Typhoon Haiyan</b> were over the age of 60&nbsp;..."
haiyan-google_51-61_w18(6),gov.uk,UK pledges longer term support after Typhoon Haiyan - Press ...,,haiyan,google,https://www.gov.uk/government/news/uk-pledges-longer-term-support-after-typhoon-haiyan,"Longer term British support will help rebuild homes in the Philippines and get <br> people back into jobs, International Development Secretary Justine Greening&nbsp;..."
haiyan-google_51-61_w18(7),japantimes.co.jp,"Philippines publicly thanks Japan, other nations for Typhoon Haiyan ...",,haiyan,google,http://www.japantimes.co.jp/news/2014/02/10/national/philippines-publicly-thanks-japan-other-nations-for-typhoon-haiyan-support/,"Philippines publicly thanks Japan, other nations for <b>Typhoon Haiyan</b> support. <br> Kyodo. Feb 10, 2014. <b>Article</b> history. Online: Feb 10, 2014; Print: Feb 11, 2014&nbsp;..."
haiyan-google_51-61_w18(8),nytimes.com,Kerry Calls Typhoon a Warning of Climate Change - NYTimes.com,12/18/2013,haiyan,google,http://www.nytimes.com/2013/12/19/world/asia/typhoon-haiyan-philippines-aid.html,Pictures of <b>Typhoon Haiyan&#39;s</b> Wrath ... Follow @nytimesworld for international <br> breaking <b>news</b> and headlines. Twitter List: Reporters and Editors. “No words can<br> &nbsp;...
haiyan-google_51-61_w18(9),ada.org,ADA and ADA Foundation efforts underway to provide Typhoon ...,,haiyan,google,http://www.ada.org/news/9406.aspx,"For <b>Typhoon Haiyan</b> relief, write &quot;Philippines&quot; in the memo field of remitted <br> checks. Funds not used ... &quot;As soon as they heard the <b>news</b>, they took off,&quot; she <br> said."
haiyan-google_51-61_w19(1),mercurynews.com,Local students and teachers raise funds and awareness for Typhoon ...,2014-01-28T18:04:52-0700,haiyan,google,http://www.mercurynews.com/pacifica/ci_25012818/local-students-and-teachers-raise-funds-and-awareness,"On November 8, 2013, <b>Typhoon Haiyan</b>, known as Typhoon Yolanda in the <br> Philippines, ripped across the central Philippines, leaving heartbreak and <br> tragedy in&nbsp;..."
haiyan-google_51-61_w19(10),devex.com,International Development News | DfID&apos;s response to Typhoon ...,,haiyan,google,https://www.devex.com/news/dfids-response-to-typhoon-haiyan-opportunities-for-future-humanitarian-crises-83013,"A beneficiary of U.K.-funded humanitarian supplies, which was distributed by a <br> consortium of NGOs in Leyte, one of the hardest hit areas of <b>Typhoon Haiyan</b> in&nbsp;..."
haiyan-google_51-61_w19(2),bbc.com,Typhoon Haiyan: how kids in the Philippines are coping,12/3/2013 13:10,haiyan,google,http://www.bbc.com/newsround/25129842,"Surviving <b>Typhoon Haiyan</b> - watch the full programme. Leah&#39;s been to the <br> Philippines to find out how children there are coping following one of the most <br> powerful storms ever, <b>Typhoon Haiyan</b>. .... Watch: The week&#39;s weirdest <b>news</b> <br> stories."
haiyan-google_51-61_w19(3),national.deseretnews.com,Americans may be acting stingy in the wake of Typhoon Haiyan ...,11/29/2013,haiyan,google,http://national.deseretnews.com/article/680/Americans-may-be-acting-stingy-in-the-wake-of-Typhoon-Haiyan.html,Just 32 percent of Americans said they are following <b>news</b> closely out of the <br> Philippines about <b>Typhoon Haiyan</b>. That compares unfavorably to 60 percent <br> closely&nbsp;...
haiyan-google_51-61_w19(4),news.yahoo.com,Aerial view of aftermath of Typhoon Haiyan | Watch the video ...,,haiyan,google,http://news.yahoo.com/video/aerial-view-aftermath-typhoon-haiyan-213352240.html,Watch the video Aerial view of aftermath of <b>Typhoon Haiyan</b> on Yahoo <b>News</b> . <br> Emergency relief efforts are underway amid the devastation caused by Typhoon<br> &nbsp;...
haiyan-google_51-61_w19(5),channelnewsasia.com,Video 1.5m Typhoon Haiyan victims to benefit from S&apos;pore donations,,haiyan,google,http://www.channelnewsasia.com/news/asiapacific/1-5m-typhoon-haiyan/1058552.html,"Some 1.5 million people, whose lives were devastated by <b>Typhoon Haiyan</b> in <br> November, are expected to ... File photo: A survivor of <b>Typhoon Haiyan</b> washes <br> clothes in front of her tent, used as a temporary shelter along the ... SOCIAL <br> <b>NEWS</b>."
haiyan-google_51-61_w19(6),ibtimes.com,The philippines after typhoon haiyan: fastest q4 gdp growth in asia ...,,haiyan,google,http://www.ibtimes.com/philippines-after-typhoon-haiyan-fastest-q4-gdp-growth-asia-after-china-1551846,"Despite suffering the devastating <b>Typhoon Haiyan</b>, the Philippines economy <br> remained robust in the last quarter of 2013. ... Business <b>news</b>. Wednesday, April <br> 09&nbsp;..."
haiyan-google_51-61_w19(7),scmp.com,Philippine coconut oil exports fall 35pc after super typhoon Haiyan ...,,haiyan,google,http://www.scmp.com/news/asia/article/1446091/super-typhoon-haiyan-hits-philippine-coconut-oil-exports,"<b>Typhoon Haiyan</b>, one of the strongest storms ever recorded, struck the <br> Philippines in November 2013 with winds of .... After reading this <b>article</b>, people <br> also read."
haiyan-google_51-61_w19(8),helpageusa.org,Older People Disproportionately Affected by Typhoon Haiyan | News ...,,haiyan,google,http://www.helpageusa.org/newsroom/news/older-people-disproportionately-affected-by-typhoon-haiyan/,HelpAge International&#39;s analysis of the latest data from the Philippines suggests <br> that almost two fifths of people killed by <b>Typhoon Haiyan</b> were over the age of 60<br> &nbsp;...
haiyan-google_51-61_w19(9),helpage.org,"Typhoon Haiyan, three months on: Aid reaches 50,000 people ...",,haiyan,google,http://www.helpage.org/newsroom/latest-news/typhoon-haiyan-three-months-on-aid-reaches-50000-people/,"Home | Newsroom | Latest <b>news</b> | <b>Typhoon Haiyan</b>, three months on: Aid reaches <br> ... Almost 40% of people killed by <b>Typhoon Haiyan</b> were over the age of 60&nbsp;..."
haiyan-google_51-61_w20(1),hiphopdx.com,Rihanna &amp; Robinson Cano Promote Typhoon Haiyan Relief Effort ...,,haiyan,google,http://www.hiphopdx.com/index/news/id.26458/title.rihanna-robinson-cano-promote-typhoon-haiyan-relief-effort,"Home &gt; <b>News</b> &gt; Rihanna &amp; Robinson Cano Promote <b>Typhoon Haiyan</b> Relief ... <br> Rihanna, Robinson Cano and more pitch in to help victims of <b>Typhoon Haiyan</b>."
