doc_id,domain,title,date_published,date_query,collection,tags,url,summary
"haiyan-google_81-91_w20(05)","upi.com","Philippines: Death toll from November typhoon hits 6,166 - UPI.com","","w20[2014-04-09]","haiyan","google","http://www.upi.com/Top_News/World-News/2014/01/03/Typhoon-death-toll-reaches-6166-in-Philippines/UPI-86661388773610/","<b>Typhoon Haiyan</b> killed at least 6166 people and injured 28626 others in the <br> Philippines in November, the government said Friday."
"haiyan-google_81-91_w20(06)","ncnnews.com","Metro Manila District pledges 10 boats for Typhoon Haiyan relief ...","","w20[2014-04-09]","haiyan","google","http://www.ncnnews.com/nphweb/html/ncn/article.jsp?id=10013505","Nazarene Communications Network <b>News</b> ... Super <b>Typhoon Haiyan</b>, locally <br> known as Yolanda, struck the central Philippines on November 8, leaving an&nbsp;..."
"haiyan-google_81-91_w20(07)","ldschurchnews.com","LDS Church News - Response to Typhoon Haiyan by the numbers","","w20[2014-04-09]","haiyan","google","http://www.ldschurchnews.com/articles/64457/Response-to-Typhoon-Haiyan-by-the-numbers.html","<b>Typhoon Haiyan</b> by the numbers: • 14.1 million people affected (including 25,762 <br> Church members). • 4.1 million people displaced. • 1.1 million damaged and&nbsp;..."
"haiyan-google_81-91_w20(08)","newyork.cbslocal.com","Stars Come Out To Raise Money For Victims Of Typhoon Haiyan ...","","w20[2014-04-09]","haiyan","google","http://newyork.cbslocal.com/2014/03/11/benefit-concert-held-to-support-filipino-communities-recovering-from-typhoon-haiyan/","... night, in support of Filipinos who are still working to piece their lives back <br> together in the aftermath of <b>typhoon Haiyan</b>. ... TRI-STATE <b>NEWS</b> HEADLINES."
"haiyan-google_81-91_w20(09)","newsnow.co.uk","NewsNow: Typhoon Haiyan News | Breaking News &amp; Search 24/7","","w20[2014-04-09]","haiyan","google","http://www.newsnow.co.uk/h/Hot+Topics/Typhoon+Haiyan","Read the latest <b>Typhoon Haiyan</b> headlines, all in one place, on NewsNow: the <br> one-stop shop for <b>news</b>."
"haiyan-google_81-91_w20(10)","cbs8.com","Relief efforts for Typhoon Haiyan victims continue - San Diego ...","","w20[2014-04-09]","haiyan","google","http://www.cbs8.com/story/24040927/relief-efforts-for-typhoon-haiyan-victims-continue","Contact <b>News</b> 8 ... Relief efforts for <b>Typhoon Haiyan</b> victims continue ... it&#39;s got - <br> for the sake of the victims of Typhoon &quot;Yolanda&quot; (international name: Haiyan),&nbsp;..."
"haiyan-google_81-91_w21(01)","managementfacilities.nl","News - Philippines slammed by Typhoon Haiyan - Mobile","","w21[2014-04-09]","haiyan","google","http://www.managementfacilities.nl/en/mobile/mobile/page_mob,news/news_id,91/philippines-slammed-by-typhoon-haiyan","We all are deeply shocked by the devastation caused by the tropical <b>typhoon</b> <br> <b>Haiyan</b>. Our thoughts and prayers are with all those affected by this natural <br> disaster&nbsp;..."
"haiyan-google_81-91_w21(02)","hiphopdx.com","Rihanna &amp; Robinson Cano Promote Typhoon Haiyan Relief Effort ...","","w21[2014-04-09]","haiyan","google","http://www.hiphopdx.com/index/news/id.26458/title.rihanna-robinson-cano-promote-typhoon-haiyan-relief-effort","Home &gt; <b>News</b> &gt; Rihanna &amp; Robinson Cano Promote <b>Typhoon Haiyan</b> Relief ... <br> Rihanna, Robinson Cano and more pitch in to help victims of <b>Typhoon Haiyan</b>."
"haiyan-google_81-91_w21(03)","wfla.com","Typhoon Haiyan: A crisis by the numbers - WFLA News Channel 8","","w21[2014-04-09]","haiyan","google","http://www.wfla.com/story/23991224/typhoon-haiyan-a-crisis-by-the-numbers","More than a week after one of the most powerful <b>typhoons</b> ever recorded tore <br> through the Philippines, the government and international and national&nbsp;..."
"haiyan-google_81-91_w21(04)","elle.com","Young Women Activists Band Together to Fight Typhoon Haiyan With","","w21[2014-04-09]","haiyan","google","http://www.elle.com/news/culture/typhoon-haiyan-relief-bundles-of-joy","Culture <b>News</b> &middot; SHARES. TWEET. Photo: Bundles of Joy. A week has passed <br> since <b>Typhoon Haiyan</b>—the strongest storm to ever hit land—touched down in <br> the&nbsp;..."
"haiyan-google_81-91_w21(05)","wmo.int","Typhoon Committee Workshop Focuses on Haiyan","","w21[2014-04-09]","haiyan","google","https://www.wmo.int/pages/mediacentre/news/TyphoonCommitteeWorkshopFocusesonHaiyan.html","<b>News</b>. 2 December 2013. Typhoon Committee Workshop Focuses on Haiyan. <br> The impact and implications of <b>Typhoon Haiyan</b> (Yolanda) will be reviewed at the<br> &nbsp;..."
"haiyan-google_81-91_w21(06)","au.ibtimes.com","Typhoon Haiyan and Bohol Earthquake Aftermath: Millions of ...","","w21[2014-04-09]","haiyan","google","http://au.ibtimes.com/articles/522862/20131118/typhoon-haiyan-millions-filipinos-need-relief-goods.htm","As the Philippines struggles with the aftermath of <b>Typhoon Haiyan</b> and the ... <br> Aftermath: Millions of Filipinos Might Need Relief Goods for Months? <b>Article</b>&nbsp;..."
