query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
countryPR,4/12/2014,years,1,365,41,4/12/2013,4/12/2014
countryPS,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryPT,4/12/2014,years,1,365,92,4/12/2013,4/12/2014
countryPW,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryQA,4/12/2014,years,1,365,156,4/12/2013,4/12/2014
countryRE,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryRO,4/12/2014,years,1,365,194,4/12/2013,4/12/2014
countryRU,4/12/2014,years,1,365,232,4/12/2013,4/12/2014
countryRW,4/12/2014,years,1,365,48,4/12/2013,4/12/2014
countrySA,4/12/2014,years,1,365,211,4/12/2013,4/12/2014
countrySB,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
countrySC,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countrySE,4/12/2014,years,1,365,271,4/12/2013,4/12/2014
countrySG,4/12/2014,years,1,365,13400,4/12/2013,4/12/2014
countrySH,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countrySI,4/12/2014,years,1,365,74,4/12/2013,4/12/2014
countrySJ,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
countrySK,4/12/2014,years,1,365,72,4/12/2013,4/12/2014
countrySL,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countrySN,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
countrySO,4/12/2014,years,1,365,201,4/12/2013,4/12/2014
countryST,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countrySV,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryTC,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryTD,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryTH,4/12/2014,years,1,365,961,4/12/2013,4/12/2014
countryTJ,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryTM,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryTN,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
countryTO,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countryTR,4/12/2014,years,1,365,301,4/12/2013,4/12/2014
countryTT,4/12/2014,years,1,365,38,4/12/2013,4/12/2014
countryTW,4/12/2014,years,1,365,715,4/12/2013,4/12/2014
countryTZ,4/12/2014,years,1,365,178,4/12/2013,4/12/2014
countryUA,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
countryUG,4/12/2014,years,1,365,114,4/12/2013,4/12/2014
countryUK,4/12/2014,years,1,365,19200,4/12/2013,4/12/2014
countryUS,4/12/2014,years,1,365,491000,4/12/2013,4/12/2014
countryUY,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countryUZ,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryVA,4/12/2014,years,1,365,40,4/12/2013,4/12/2014
countryVC,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryVE,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryVG,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
countryVI,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryVN,4/12/2014,years,1,365,1750,4/12/2013,4/12/2014
countryVU,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryWS,4/12/2014,years,1,365,2,4/12/2013,4/12/2014
countryYE,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryZA,4/12/2014,years,1,365,928,4/12/2013,4/12/2014
countryZM,4/12/2014,years,1,365,19,4/12/2013,4/12/2014
countryZW,4/12/2014,years,1,365,61,4/12/2013,4/12/2014
