query_url,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"United Kingdom","2014-04-12","years","1","365","19200","2013-04-12","2014-04-12"
"United States","2014-04-12","years","1","365","491000","2013-04-12","2014-04-12"
"Uruguay","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"Uzbekistan","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"Holy See (Vatican City State)","2014-04-12","years","1","365","40","2013-04-12","2014-04-12"
"Saint Vincent and the Grenadines","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"Venezuela","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"&quot;Virgin Islands, British&quot;","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"&quot;Virgin Islands, U.S.&quot;","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"Vietnam","2014-04-12","years","1","365","1750","2013-04-12","2014-04-12"
"Vanuatu","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"Samoa","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"Yemen","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"South Africa","2014-04-12","years","1","365","928","2013-04-12","2014-04-12"
"Zambia","2014-04-12","years","1","365","19","2013-04-12","2014-04-12"
"Zimbabwe","2014-04-12","years","1","365","61","2013-04-12","2014-04-12"
